,Snapshot Date,Checkin Date,DayDiff,Hotel Name,WeekDay,Discount Code
67,7/17/2015,7/24/2015,7,Park Hyatt New York,Friday,2
68,7/17/2015,7/24/2015,7,Red Carpet Inn New York City,Friday,1
69,7/17/2015,7/24/2015,7,W New York - Union Square,Friday,2
70,7/17/2015,7/25/2015,8,Andaz 5th Avenue - a concept by Hyatt,Saturday,2
71,7/17/2015,7/25/2015,8,Comfort Inn & Suites LaGuardia Airport,Saturday,1
72,7/17/2015,7/25/2015,8,Conrad New York,Saturday,1
73,7/17/2015,7/25/2015,8,DoubleTree by Hilton New York City - Chelsea,Saturday,2
74,7/17/2015,7/25/2015,8,Hampton Inn Madison Square Garden Area Hotel,Saturday,2
75,7/17/2015,7/25/2015,8,Hampton Inn Manhattan Times Square South,Saturday,2
76,7/17/2015,7/25/2015,8,Hilton Garden Inn New York Midtown Park Ave,Saturday,2
77,7/17/2015,7/25/2015,8,Hilton Garden Inn Queens JFK Airport,Saturday,1
78,7/17/2015,7/25/2015,8,Homewood Suites by Hilton NY Midtown Manhattan Times Square,Saturday,3
79,7/17/2015,7/25/2015,8,Howard Johnson Bronx Near Stadium,Saturday,1
80,7/17/2015,7/25/2015,8,Hyatt Place Flushing LaGuardia Airport,Saturday,2
81,7/17/2015,7/25/2015,8,New York Hilton Midtown,Saturday,4
82,7/17/2015,7/25/2015,8,Park Hyatt New York,Saturday,2
83,7/17/2015,7/25/2015,8,Sheraton New York Times Square Hotel,Saturday,2
84,7/17/2015,7/25/2015,8,The Peninsula New York,Saturday,2
85,7/17/2015,7/25/2015,8,The Westin New York Grand Central,Saturday,3
86,7/17/2015,7/25/2015,8,W New York - Union Square,Saturday,1
87,7/17/2015,7/26/2015,9,Andaz 5th Avenue - a concept by Hyatt,Sunday,4
88,7/17/2015,7/26/2015,9,Conrad New York,Sunday,4
89,7/17/2015,7/26/2015,9,DoubleTree by Hilton Hotel New York - Times Square South,Sunday,1
90,7/17/2015,7/26/2015,9,Eventi Hotel a Kimpton Hotel,Sunday,1
91,7/17/2015,7/26/2015,9,Gild Hall A Thompson Hotel,Sunday,2
92,7/17/2015,7/26/2015,9,Hampton Inn Manhattan Soho,Sunday,1
93,7/17/2015,7/26/2015,9,Hampton Inn Manhattan Times Square Central,Sunday,1
94,7/17/2015,7/26/2015,9,Hampton Inn Manhattan Times Square South,Sunday,3
95,7/17/2015,7/26/2015,9,Hampton Inn Manhattan-Seaport-Financial District,Sunday,1
96,7/17/2015,7/26/2015,9,Hilton Times Square,Sunday,1
97,7/17/2015,7/26/2015,9,Martha Washington,Sunday,2
98,7/17/2015,7/26/2015,9,Omni Berkshire Place,Sunday,1
99,7/17/2015,7/26/2015,9,Park Hyatt New York,Sunday,2
100,7/17/2015,7/26/2015,9,Sheraton New York Times Square Hotel,Sunday,2
101,7/17/2015,7/26/2015,9,The Westin New York Grand Central,Sunday,2
102,7/17/2015,7/27/2015,10,Andaz 5th Avenue - a concept by Hyatt,Monday,3
103,7/17/2015,7/27/2015,10,Best Western Bayside Inn,Monday,3
104,7/17/2015,7/27/2015,10,Conrad New York,Monday,4
105,7/17/2015,7/27/2015,10,Gild Hall A Thompson Hotel,Monday,3
106,7/17/2015,7/27/2015,10,Hampton Inn & Suites Staten Island,Monday,3
107,7/17/2015,7/27/2015,10,Hampton Inn Manhattan Soho,Monday,4
108,7/17/2015,7/27/2015,10,Hampton Inn Manhattan Times Square South,Monday,2
109,7/17/2015,7/27/2015,10,Hampton Inn Manhattan-Seaport-Financial District,Monday,3
110,7/17/2015,7/27/2015,10,Hotel Chandler,Monday,3
111,7/17/2015,7/27/2015,10,Newark Liberty International Airport Marriott,Monday,3
112,7/17/2015,7/27/2015,10,Omni Berkshire Place,Monday,4
113,7/17/2015,7/27/2015,10,Park Hyatt New York,Monday,2
114,7/17/2015,7/27/2015,10,W New York - Downtown,Monday,3
115,7/17/2015,7/27/2015,10,W New York - Union Square,Monday,4
116,7/17/2015,7/28/2015,11,Andaz 5th Avenue - a concept by Hyatt,Tuesday,2
117,7/17/2015,7/28/2015,11,Best Western Bayside Inn,Tuesday,3
118,7/17/2015,7/28/2015,11,Comfort Inn & Suites LaGuardia Airport,Tuesday,4
119,7/17/2015,7/28/2015,11,Courtyard by Marriott New York Manhattan Times Square,Tuesday,2
120,7/17/2015,7/28/2015,11,Gild Hall A Thompson Hotel,Tuesday,2
121,7/17/2015,7/28/2015,11,Home2 Suites by Hilton NY Long Island City Manhattan View,Tuesday,2
122,7/17/2015,7/28/2015,11,Hotel Chandler,Tuesday,1
123,7/17/2015,7/28/2015,11,Loews Regency New York Hotel,Tuesday,3
124,7/17/2015,7/28/2015,11,Millenium Hilton,Tuesday,4
125,7/17/2015,7/28/2015,11,Newark Liberty International Airport Marriott,Tuesday,2
126,7/17/2015,7/28/2015,11,Park Hyatt New York,Tuesday,2
127,7/17/2015,7/28/2015,11,W New York - Union Square,Tuesday,2
128,7/17/2015,7/28/2015,11,W New York Times Square,Tuesday,3
129,7/17/2015,7/29/2015,12,Best Western Bayside Inn,Wednesday,2
130,7/17/2015,7/29/2015,12,Comfort Inn & Suites LaGuardia Airport,Wednesday,3
131,7/17/2015,7/29/2015,12,Fairfield Inn by Marriott LaGuardia Airport Flushing,Wednesday,1
132,7/17/2015,7/29/2015,12,Gild Hall A Thompson Hotel,Wednesday,1
133,7/17/2015,7/29/2015,12,Hampton Inn Madison Square Garden Area Hotel,Wednesday,1
134,7/17/2015,7/29/2015,12,Hampton Inn Times Square North,Wednesday,2
135,7/17/2015,7/29/2015,12,Hilton Garden Inn New York-Times Square Central,Wednesday,1
136,7/17/2015,7/29/2015,12,Home2 Suites by Hilton NY Long Island City Manhattan View,Wednesday,1
137,7/17/2015,7/29/2015,12,Hyatt Times Square New York,Wednesday,2
138,7/17/2015,7/29/2015,12,Langham Place New York Fifth Avenue,Wednesday,3
139,7/17/2015,7/29/2015,12,Loews Regency New York Hotel,Wednesday,2
140,7/17/2015,7/29/2015,12,McCarren Hotel & Pool,Wednesday,2
141,7/17/2015,7/29/2015,12,Newark Liberty International Airport Marriott,Wednesday,1
142,7/17/2015,7/29/2015,12,Park Hyatt New York,Wednesday,2
143,7/17/2015,7/29/2015,12,Residence Inn Newark Elizabeth Liberty International Airport,Wednesday,1
144,7/17/2015,7/29/2015,12,The Peninsula New York,Wednesday,3
145,7/17/2015,7/29/2015,12,The Westin New York Grand Central,Wednesday,2
146,7/17/2015,7/29/2015,12,W New York - Union Square,Wednesday,2
147,7/17/2015,7/29/2015,12,W New York Times Square,Wednesday,2
148,7/17/2015,7/29/2015,12,Waldorf Astoria New York,Wednesday,3
149,7/17/2015,7/30/2015,13,Andaz Wall Street - a concept by Hyatt,Thursday,3
150,7/17/2015,7/30/2015,13,Best Western Bayside Inn,Thursday,3
151,7/17/2015,7/30/2015,13,Comfort Inn Lower East Side,Thursday,1
152,7/17/2015,7/30/2015,13,Courtyard by Marriott New York Manhattan Times Square,Thursday,3
153,7/17/2015,7/30/2015,13,DoubleTree Suites by Hilton New York City - Times Square,Thursday,2
154,7/17/2015,7/30/2015,13,DoubleTree by Hilton Hotel New York - Times Square South,Thursday,1
155,7/17/2015,7/30/2015,13,DoubleTree by Hilton Hotel Newark Airport,Thursday,1
156,7/17/2015,7/30/2015,13,Fairfield Inn by Marriott LaGuardia Airport Flushing,Thursday,4
157,7/17/2015,7/30/2015,13,Hampton Inn Madison Square Garden Area Hotel,Thursday,4
158,7/17/2015,7/30/2015,13,Hampton Inn Manhattan Times Square South,Thursday,4
159,7/17/2015,7/30/2015,13,Hampton Inn Manhattan United Nations,Thursday,4
160,7/17/2015,7/30/2015,13,Hilton Garden Inn New York-Times Square Central,Thursday,2
161,7/17/2015,7/30/2015,13,Hilton Manhattan East,Thursday,3
162,7/17/2015,7/30/2015,13,Langham Place New York Fifth Avenue,Thursday,1
163,7/17/2015,7/30/2015,13,Loews Regency New York Hotel,Thursday,1
164,7/17/2015,7/30/2015,13,Millenium Hilton,Thursday,2
165,7/17/2015,7/30/2015,13,New York Marriott Marquis,Thursday,4
166,7/17/2015,7/30/2015,13,Newark Liberty International Airport Marriott,Thursday,4
167,7/17/2015,7/30/2015,13,Red Carpet Inn New York City,Thursday,2
168,7/17/2015,7/30/2015,13,Sheraton Tribeca New York Hotel,Thursday,3
169,7/17/2015,7/30/2015,13,The Muse Hotel a Kimpton Hotel,Thursday,2
170,7/17/2015,7/30/2015,13,W New York - Union Square,Thursday,3
171,7/17/2015,7/31/2015,14,Best Western Bayside Inn,Friday,2
172,7/17/2015,7/31/2015,14,DoubleTree Suites by Hilton New York City - Times Square,Friday,1
173,7/17/2015,7/31/2015,14,Four Seasons Hotel New York,Friday,2
174,7/17/2015,7/31/2015,14,Hampton Inn Madison Square Garden Area Hotel,Friday,3
175,7/17/2015,7/31/2015,14,Hampton Inn Manhattan Times Square South,Friday,3
176,7/17/2015,7/31/2015,14,Hilton Garden Inn Tribeca,Friday,4
177,7/17/2015,7/31/2015,14,McCarren Hotel & Pool,Friday,2
178,7/17/2015,7/31/2015,14,Millenium Hilton,Friday,1
179,7/17/2015,7/31/2015,14,New York Marriott Marquis,Friday,3
180,7/17/2015,7/31/2015,14,Omni Berkshire Place,Friday,3
181,7/17/2015,7/31/2015,14,Park Hyatt New York,Friday,3
182,7/17/2015,7/31/2015,14,Ramada Long Island City,Friday,1
183,7/17/2015,7/31/2015,14,Red Carpet Inn New York City,Friday,1
184,7/17/2015,7/31/2015,14,The Muse Hotel a Kimpton Hotel,Friday,2
185,7/17/2015,7/31/2015,14,The Roger Smith Hotel,Friday,3
186,7/17/2015,7/31/2015,14,United Nations Apartment Hotel,Friday,1
187,7/17/2015,7/31/2015,14,W New York - Union Square,Friday,3
188,7/17/2015,7/31/2015,14,Waldorf Astoria New York,Friday,2
189,7/17/2015,8/1/2015,15,Andaz 5th Avenue - a concept by Hyatt,Saturday,2
190,7/17/2015,8/1/2015,15,Best Western Bayside Inn,Saturday,1
191,7/17/2015,8/1/2015,15,DoubleTree by Hilton Metropolitan - New York City,Saturday,2
192,7/17/2015,8/1/2015,15,Four Seasons Hotel New York,Saturday,2
193,7/17/2015,8/1/2015,15,Gild Hall A Thompson Hotel,Saturday,3
194,7/17/2015,8/1/2015,15,Hampton Inn Madison Square Garden Area Hotel,Saturday,3
195,7/17/2015,8/1/2015,15,Hilton New York JFK Airport,Saturday,4
196,7/17/2015,8/1/2015,15,Howard Johnson Bronx Near Stadium,Saturday,2
197,7/17/2015,8/1/2015,15,Omni Berkshire Place,Saturday,3
198,7/17/2015,8/1/2015,15,Park Hyatt New York,Saturday,3
199,7/17/2015,8/1/2015,15,Sleep Inn JFK Airport,Saturday,2
200,7/17/2015,8/1/2015,15,W New York - Union Square,Saturday,2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
